// Converted from IBM/Eloquence SPR-style dictionary. Review before installing.
// Format: word<TAB>[[eSpeak phonemes]]
subclass	[['sVb,klas]]	// Eloquence: .1sHb.2klAs
subclasses	[['sVb,klas@z]]	// Eloquence: .1sHb.2klA.0sXz
hudud	[[,hu:'du:d]]	// Eloquence: .2hu.1dud
abrogative	[['abr@g@t@v]]	// Eloquence: .1A.0brx.0gx.0FXv
physiognomies	[[,fIzi:'A:gn@mi:z]]	// Eloquence: .2fI.0zi.1ag.0nx.0miz
heldentenor	[['hEld@n,tEn3:]]	// Eloquence: .1hEl.0dXn.2tE.0nR
proteinuria	[[,proUt@n'nu:ri:@]]	// Eloquence: .2pro.0?N.1nur.0i.0x
appressed	[[@p'rEst]]	// Eloquence: .0xp.1rEst
delineative	[[d@'lIni:@t@v]]	// Eloquence: .0dX.1lI.0ni.0x.0FXv
marlinspike	[['mA:rl@n,spaIk]]	// Eloquence: .1mar.0lXn.2spYk
kalahari	[[,kA:l@'hA:ri:]]	// Eloquence: .2kal.0x.1har.0i
campanile	[[,kamp@'ni:li:]]	// Eloquence: .2kAm.0px.1ni.0li
campanili	[[,kamp@'ni:li:]]	// Eloquence: .2kAm.0px.1ni.0li
obento	[[oU'bEntoU]]	// Eloquence: .0o.1bEn.0to
judaization	[[,dZu:ti:@'zeIS@n]]	// Eloquence: .2Ju.0Fi.0X.1ze.0SXn
tachycardiac	[[,tak@'kA:rti:,ak]]	// Eloquence: .2tA.0kX.1kar.0Fi.2Ak
condemnor	[[k@n'dEm3:]]	// Eloquence: .0kXn.1dE.0mR
abasic	[[@'beIz@k]]	// Eloquence: .0x.1be.0zXk
capet	[['keIp@t]]	// Eloquence: .1ke.0pXt
phosphodiester	[[,fA:sfoU,daI'Est3:]]	// Eloquence: .2fas.0fo.2dY.1E.0stR
decayspren	[[d@'keI,sprEn]]	// Eloquence: .0dX.1ke.2sprEn
animatronic	[[,an@m@'trA:n@k]]	// Eloquence: .2A.0nX.0mx.1tra.0nXk
polyglot	[['pA:li:,glA:t]]	// Eloquence: .1pa.0li.2glat
polyglots	[['pA:li:,glA:ts]]	// Eloquence: .1pa.0li.2glats
polyglotism	[['pA:li:,glA:,tIz@m]]	// Eloquence: .1pa.0li.2gla.2tI.0zxm
betook	[[b@'tUk]]	// Eloquence: .0bX.1tUk
phonolite	[['foUn@,laIt]]	// Eloquence: .1fo.0nx.2lYt
abiogenic	[[,eI,baIoU'dZEn@k]]	// Eloquence: .2e.2bY.0o.1JE.0nXk
deafblind	[['dEf,blaInd]]	// Eloquence: .1dEf.2blYnd
dextromethorphan	[[,dEkstroUm@'TO:r,fan]]	// Eloquence: .2dEk.0stro.0mX.1Tcr.2fAn
bilocular	[[,baI'lA:kj@l3:]]	// Eloquence: .2bY.1la.0kyX.0lR
microcline	[['maIkroU,klaIn]]	// Eloquence: .1mY.0kro.2klYn
microclines	[['maIkroU,klaInz]]	// Eloquence: .1mY.0kro.2klYnz
ghannouj	[[g@'nu:S]]	// Eloquence: .0gx.1nuS
sachem	[['seItS@m]]	// Eloquence: .1se.0Cxm
